term,domain,source_locator,coverage_status,concept_count,concept_ids,concept_labels,notes
순환마디,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_repetend,순환마디,
제곱근,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_square_root,제곱근,
근호,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_radical_sign,근호,
무리수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_irrational_number,무리수,
실수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_real_number,실수,
분모의 유리화,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_rationalize_denominator,분모의 유리화,
양의 부호,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_plus_sign,양의 부호,
음의 부호,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_minus_sign,음의 부호,
순환소수 표현,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_repeating_decimal_notation,순환소수 표현,
근호 기호,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered_by_alias,1,m1_num_radical_sign,근호,
대입,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_substitution,대입,
다항식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_polynomial,다항식,
항,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_term,항,
단항식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_monomial,단항식,
상수항,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_constant_term,상수항,
계수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_coefficient,계수,
차수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_degree,차수,
일차식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_linear_expression,일차식,
동류항,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_expr_like_terms,동류항,
등식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_equality,등식,
방정식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_equation,방정식,
미지수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_unknown,미지수,
해,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_solution,해,
근,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_root,근,
항등식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_identity,항등식,
이항,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_eq_transposition,이항,
일차방정식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,2,m1_eq_linear_equation; m1_eq_unit,일차방정식; 일차방정식,
변수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_term_variable,변수,
좌표,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_coordinate,좌표,
순서쌍,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_ordered_pair,순서쌍,
x좌표,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_x_coordinate,x좌표,
y좌표,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_y_coordinate,y좌표,
원점,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_origin,원점,
좌표축,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_axis,좌표축,
x축,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_x_axis,x축,
y축,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_y_axis,y축,
좌표평면,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_coordinate_plane,좌표평면,
제1사분면,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_quadrant_1,제1사분면,
제2사분면,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_quadrant_2,제2사분면,
제3사분면,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_quadrant_3,제3사분면,
제4사분면,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_coord_quadrant_4,제4사분면,
그래프,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_graph_graph,그래프,
정비례,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_prop_direct_proportion,정비례,
반비례,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_prop_inverse_proportion,반비례,
함수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_function,함수,
함숫값,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_value,함숫값,
일차함수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_linear_function,일차함수,
기울기,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_slope,기울기,
x절편,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_x_intercept,x절편,
y절편,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_y_intercept,y절편,
평행이동,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_func_parallel_translation,평행이동,
전개,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_calc_expansion,전개,
인수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_factor_factor,인수,
인수분해,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_factor_factorization,인수분해,
공통인수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_factor_common_factor,공통인수,
완전제곱식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_factor_perfect_square_expression,완전제곱식,
이차식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_factor_quadratic_expression,이차식,
이차방정식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,2,m1_quad_eq_quadratic_equation; m1_quad_eq_unit,이차방정식; 이차방정식,
중근,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_eq_double_root,중근,
근의 공식,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_eq_root_formula,근의 공식,
이차함수,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_func_quadratic_function,이차함수,
y=f(x),변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_func_y_fx,y=f(x),
f(x),변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered_by_alias,1,m1_quad_func_y_fx,y=f(x),
포물선,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_func_parabola,포물선,
축,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_func_axis,축,
꼭짓점,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,1,m1_quad_func_vertex,꼭짓점,
최댓값,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,2,m1_data_maximum_value; m1_quad_func_maximum,최댓값; 최댓값,
최솟값,변화와 관계,2022 수학과 교육과정 중학교 변화와 관계 용어·기호 목록 및 성취수준 확인 용어,covered,2,m1_data_minimum_value; m1_quad_func_minimum,최솟값; 최솟값,
교점,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,2,m1_func_intersection_point; m1_geo_intersection_point,교점; 교점,
교선,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_intersection_line,교선,
두 점 사이의 거리,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_distance_between_two_points,두 점 사이의 거리,
중점,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_midpoint,중점,
수직이등분선,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_perpendicular_bisector,수직이등분선,
꼬인 위치,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_skew_lines,꼬인 위치,
맞꼭지각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_vertical_angles,맞꼭지각,
엇각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_alternate_interior_angles,엇각,
동위각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_corresponding_angles,동위각,
평각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_straight_angle,평각,
직교,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_perpendicular,직교,
수선의 발,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_foot_of_perpendicular,수선의 발,
작도,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_construction,작도,
대변,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_opposite_side,대변,
대각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_opposite_angle,대각,
삼각형의 합동 조건,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_triangle_congruence_conditions,삼각형의 합동 조건,
내각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_interior_angle,내각,
외각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_exterior_angle,외각,
부채꼴,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_sector,부채꼴,
중심각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_central_angle,중심각,
호,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_arc,호,
현,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_chord,현,
활꼴,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_circular_segment,활꼴,
할선,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_secant,할선,
다면체,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_polyhedron,다면체,
각뿔대,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_frustum_pyramid,각뿔대,
정다면체,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_regular_polyhedron,정다면체,
회전체,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_solid_of_revolution,회전체,
회전축,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_axis_of_rotation,회전축,
원뿔대,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_frustum_cone,원뿔대,
증명,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_proof,증명,
접선,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_tangent_line,접선,
접점,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_tangent_point,접점,
접한다,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_tangent_relation,접한다,
외심,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_circumcenter,외심,
외접,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered_by_alias,1,m1_geo_circumcircle,외접원,
외접원,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_circumcircle,외접원,
내심,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_incenter,내심,
내접,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered_by_alias,1,m1_geo_incircle,내접원,
내접원,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_incircle,내접원,
중선,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_median,중선,
무게중심,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_centroid,무게중심,
닮음,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_similarity,닮음,
닮음비,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_similarity_ratio,닮음비,
삼각형의 닮음 조건,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_triangle_similarity_conditions,삼각형의 닮음 조건,
피타고라스 정리,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,2,m1_geo_pythagorean_theorem; m1_geo_pythagorean_unit,피타고라스 정리; 피타고라스 정리,
삼각비,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,2,m1_geo_trig_unit; m1_geo_trigonometric_ratio,삼각비; 삼각비,
사인,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_sine,사인,
코사인,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_cosine,코사인,
탄젠트,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_tangent_ratio,탄젠트,
원주각,도형과 측정,2022 수학과 교육과정 중학교 도형과 측정 용어·기호 목록,covered,1,m1_geo_inscribed_angle,원주각,
변량,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_variable,변량,
대푯값,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,2,m1_data_representative_unit; m1_data_representative_value,대푯값; 대푯값,
중앙값,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_median,중앙값,
최빈값,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_mode,최빈값,
줄기와 잎 그림,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_stem_leaf_plot,줄기와 잎 그림,
계급,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_class,계급,
계급의 크기,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_class_width,계급의 크기,
도수,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_frequency,도수,
도수분포표,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_frequency_table,도수분포표,
히스토그램,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_histogram,히스토그램,
도수분포다각형,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_frequency_polygon,도수분포다각형,
상대도수,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_relative_frequency,상대도수,
사건,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_event,사건,
확률,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_probability,확률,
산포도,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,2,m1_data_variability; m1_data_variability_unit,산포도; 산포도,
편차,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_deviation,편차,
분산,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_variance,분산,
표준편차,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_standard_deviation,표준편차,
사분위수,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_quartile,사분위수,
상자그림,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_box_plot,상자그림,
산점도,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_scatter_plot,산점도,
상관관계,자료와 가능성,2022 수학과 교육과정 중학교 자료와 가능성 용어·기호 목록,covered,1,m1_data_correlation,상관관계,
가정,도형과 측정,2022 수학과 교육과정 도형과 측정 지도 유의 사항,excluded_by_curriculum_scope,0,,,`가정`과 `결론` 용어는 중학교 도입 범위에서 제외됨.
결론,도형과 측정,2022 수학과 교육과정 도형과 측정 지도 유의 사항,excluded_by_curriculum_scope,0,,,`가정`과 `결론` 용어는 중학교 도입 범위에서 제외됨.
